rank,client_hash_id,content_hash_id,model_score,action,reason_code,confidence,impressions,clicks,avg_position,ctr
118,client_a22068e339bf95f5,content_3856798783cee527,0.8024762185145614,refresh_priority,low_ctr,high,786.0,0.0,4.689564120293974,0.0
119,client_23a62021009f63c4,content_2cd9e971a81af9c9,0.8021594034111217,refresh_priority,weak_position,high,699.0,2.0,17.778581119820153,0.0028612303290414
120,client_73cda7b4e4f265ea,content_419dc7d89aee9698,0.8021592015039115,refresh_priority,weak_position|low_ctr,high,1939.0,2.0,17.710259604631094,0.001031459515214
121,client_73cda7b4e4f265ea,content_c8e2ccf761d35142,0.8021126226071503,refresh_priority,weak_position|low_ctr,high,1986.0,3.0,13.816896684254816,0.0015105740181268
122,client_73cda7b4e4f265ea,content_952c34acafafa6fd,0.8019729789359686,refresh_priority,low_ctr,high,1724.0,1.0,7.606747022745084,0.0005800464037122
123,client_9958f0a7ae1df715,content_6e6a3c345f5ba170,0.8019122578753202,refresh_priority,weak_position,high,306.0,1.0,48.28776735716391,0.0032679738562091
124,client_810019792c9b8efc,content_a81b1482c9f24580,0.8017209271373352,refresh_priority,weak_position,high,996.0,3.0,11.985758157429112,0.003012048192771
125,client_fef1a8f436438636,content_3814cfa7d44d2a9d,0.8015635220061325,refresh_priority,weak_position,high,575.0,2.0,15.295317644985664,0.0034782608695652
126,client_810019792c9b8efc,content_e25e475f477f4187,0.8015629482583421,refresh_priority,weak_position,high,1052.0,3.0,22.582744656302506,0.0028517110266159
127,client_fef1a8f436438636,content_fa731a1b57a787aa,0.8014090820260291,refresh_priority,weak_position|low_ctr,high,1231.0,1.0,15.936546321259884,0.000812347684809
128,client_23a62021009f63c4,content_29b8cc9c0026b625,0.8013668672217704,refresh_priority,weak_position,high,858.0,3.0,15.522354446790873,0.0034965034965034
129,client_b10cb2997d0c7c86,content_7e48177afa81c204,0.8009477575045718,refresh_priority,weak_position|low_ctr,high,290.0,0.0,23.51247187176279,0.0
130,client_9958f0a7ae1df715,content_1694d6f2d9e55500,0.8006310803330762,refresh_priority,weak_position,high,656.0,2.0,21.790030799882576,0.0030487804878048
131,client_a80fca3f171ed1de,content_dfb6f9736ee2d3d8,0.8005480080167128,refresh_priority,weak_position|low_ctr,high,769.0,1.0,13.56931096682582,0.0013003901170351
132,client_e547b89c05043229,content_ffcda9fdaf98d9c9,0.8004813705571155,refresh_priority,weak_position|low_ctr,high,159.0,0.0,39.98448051948051,0.0
133,client_9958f0a7ae1df715,content_f542518ee28e691e,0.8003479153621091,refresh_priority,weak_position|low_ctr,high,419.0,1.0,16.37966325120814,0.0023866348448687
